"date","country","value"
2017-01-01,"KR",500
2017-01-02,"KR",468
2017-01-03,"KR",497
2017-01-04,"KR",494
2017-01-05,"KR",495
2017-01-06,"KR",501
2017-01-07,"KR",442
2017-01-08,"KR",410
2017-01-09,"KR",432
2017-01-10,"KR",454
2017-01-11,"KR",454
2017-01-12,"KR",469
2017-01-13,"KR",484
2017-01-14,"KR",516
2017-01-15,"KR",548
2017-01-16,"KR",548
2017-01-17,"KR",514
2017-01-18,"KR",480
2017-01-19,"KR",462
2017-01-20,"KR",475
2017-01-21,"KR",506
2017-01-22,"KR",480
2017-01-23,"KR",428
2017-01-24,"KR",402
2017-01-25,"KR",383
2017-01-26,"KR",364
2017-01-27,"KR",338
2017-01-28,"KR",343
2017-01-29,"KR",374
2017-01-30,"KR",391
2017-01-31,"KR",426
2017-02-01,"KR",467
2017-02-02,"KR",517
2017-02-03,"KR",544
2017-02-04,"KR",577
2017-02-05,"KR",638
2017-02-06,"KR",666
2017-02-07,"KR",649
2017-02-08,"KR",632
2017-02-09,"KR",661
2017-02-10,"KR",658
2017-02-11,"KR",661
2017-02-12,"KR",696
2017-02-13,"KR",729
2017-02-14,"KR",790
2017-02-15,"KR",839
2017-02-16,"KR",875
2017-02-17,"KR",890
2017-02-18,"KR",890
2017-02-19,"KR",860
2017-02-20,"KR",846
2017-02-21,"KR",892
2017-02-22,"KR",922
2017-02-23,"KR",952
2017-02-24,"KR",1012
2017-02-25,"KR",1066
2017-02-26,"KR",1090
2017-02-27,"KR",1065
2017-02-28,"KR",1075
2017-03-01,"KR",1129
2017-03-02,"KR",1182
2017-03-03,"KR",1216
2017-03-04,"KR",1201
2017-03-05,"KR",1164
2017-03-06,"KR",1142
2017-03-07,"KR",1167
2017-03-08,"KR",1226
2017-03-09,"KR",1282
2017-03-10,"KR",1286
2017-03-11,"KR",1268
2017-03-12,"KR",1245
2017-03-13,"KR",1252
2017-03-14,"KR",1282
2017-03-15,"KR",1266
2017-03-16,"KR",1250
2017-03-17,"KR",1269
2017-03-18,"KR",1310
2017-03-19,"KR",1311
2017-03-20,"KR",1272
2017-03-21,"KR",1222
2017-03-22,"KR",1205
2017-03-23,"KR",1192
2017-03-24,"KR",1164
2017-03-25,"KR",1181
2017-03-26,"KR",1198
2017-03-27,"KR",1198
2017-03-28,"KR",1198
2017-03-29,"KR",1163
2017-03-30,"KR",1100
2017-03-31,"KR",1049
2017-04-01,"KR",1041
2017-04-02,"KR",1030
2017-04-03,"KR",1004
2017-04-04,"KR",1004
2017-04-05,"KR",1004
2017-04-06,"KR",1035
2017-04-07,"KR",1066
2017-04-08,"KR",1087
2017-04-09,"KR",1129
2017-04-10,"KR",1180
2017-04-11,"KR",1210
2017-04-12,"KR",1210
2017-04-13,"KR",1210
2017-04-14,"KR",1210
2017-04-15,"KR",1227
2017-04-16,"KR",1244
2017-04-17,"KR",1220
2017-04-18,"KR",1178
2017-04-19,"KR",1160
2017-04-20,"KR",1193
2017-04-21,"KR",1226
2017-04-22,"KR",1226
2017-04-23,"KR",1250
2017-04-24,"KR",1303
2017-04-25,"KR",1360
2017-04-26,"KR",1359
2017-04-27,"KR",1352
2017-04-28,"KR",1358
2017-04-29,"KR",1309
2017-04-30,"KR",1296
2017-05-01,"KR",1316
2017-05-02,"KR",1316
2017-05-03,"KR",1351
2017-05-04,"KR",1386
2017-05-05,"KR",1366
2017-05-06,"KR",1346
2017-05-07,"KR",1320
2017-05-08,"KR",1311
2017-05-09,"KR",1308
2017-05-10,"KR",1288
2017-05-11,"KR",1258
2017-05-12,"KR",1207
2017-05-13,"KR",1186
2017-05-14,"KR",1216
2017-05-15,"KR",1246
2017-05-16,"KR",1246
2017-05-17,"KR",1226
2017-05-18,"KR",1236
2017-05-19,"KR",1266
2017-05-20,"KR",1232
2017-05-21,"KR",1233
2017-05-22,"KR",1235
2017-05-23,"KR",1202
2017-05-24,"KR",1182
2017-05-25,"KR",1189
2017-05-26,"KR",1191
2017-05-27,"KR",1199
2017-05-28,"KR",1232
2017-05-29,"KR",1232
2017-05-30,"KR",1197
2017-05-31,"KR",1177
2017-06-01,"KR",1192
2017-06-02,"KR",1161
2017-06-03,"KR",1095
2017-06-04,"KR",1039
2017-06-05,"KR",1000
2017-06-06,"KR",949
2017-06-07,"KR",889
2017-06-08,"KR",838
2017-06-09,"KR",814
2017-06-10,"KR",814
2017-06-11,"KR",838
2017-06-12,"KR",862
2017-06-13,"KR",862
2017-06-14,"KR",891
2017-06-15,"KR",935
2017-06-16,"KR",950
2017-06-17,"KR",928
2017-06-18,"KR",891
2017-06-19,"KR",844
2017-06-20,"KR",812
2017-06-21,"KR",839
2017-06-22,"KR",831
2017-06-23,"KR",796
2017-06-24,"KR",823
2017-06-25,"KR",850
2017-06-26,"KR",867
2017-06-27,"KR",913
2017-06-28,"KR",963
2017-06-29,"KR",984
2017-06-30,"KR",959
2017-07-01,"KR",908
2017-07-02,"KR",848
2017-07-03,"KR",814
2017-07-04,"KR",783
2017-07-05,"KR",768
2017-07-06,"KR",763
2017-07-07,"KR",742
2017-07-08,"KR",760
2017-07-09,"KR",778
2017-07-10,"KR",754
2017-07-11,"KR",730
2017-07-12,"KR",730
2017-07-13,"KR",730
2017-07-14,"KR",755
2017-07-15,"KR",749
2017-07-16,"KR",752
2017-07-17,"KR",811
2017-07-18,"KR",810
2017-07-19,"KR",784
2017-07-20,"KR",755
2017-07-21,"KR",743
2017-07-22,"KR",733
2017-07-23,"KR",724
2017-07-24,"KR",727
2017-07-25,"KR",737
2017-07-26,"KR",786
2017-07-27,"KR",776
2017-07-28,"KR",707
2017-07-29,"KR",706
2017-07-30,"KR",756
2017-07-31,"KR",799
2017-08-01,"KR",851
2017-08-02,"KR",905
2017-08-03,"KR",952
2017-08-04,"KR",940
2017-08-05,"KR",936
2017-08-06,"KR",939
2017-08-07,"KR",941
2017-08-08,"KR",988
2017-08-09,"KR",977
2017-08-10,"KR",916
2017-08-11,"KR",888
2017-08-12,"KR",920
2017-08-13,"KR",952
2017-08-14,"KR",952
2017-08-15,"KR",919
2017-08-16,"KR",863
2017-08-17,"KR",864
2017-08-18,"KR",921
2017-08-19,"KR",933
2017-08-20,"KR",912
2017-08-21,"KR",912
2017-08-22,"KR",912
2017-08-23,"KR",934
2017-08-24,"KR",941
2017-08-25,"KR",926
2017-08-26,"KR",910
2017-08-27,"KR",894
2017-08-28,"KR",917
2017-08-29,"KR",940
2017-08-30,"KR",918
2017-08-31,"KR",865
2017-09-01,"KR",814
2017-09-02,"KR",769
2017-09-03,"KR",729
2017-09-04,"KR",743
2017-09-05,"KR",798
2017-09-06,"KR",856
2017-09-07,"KR",888
2017-09-08,"KR",888
2017-09-09,"KR",888
2017-09-10,"KR",914
2017-09-11,"KR",960
2017-09-12,"KR",995
2017-09-13,"KR",1010
2017-09-14,"KR",979
2017-09-15,"KR",948
2017-09-16,"KR",948
2017-09-17,"KR",926
2017-09-18,"KR",932
2017-09-19,"KR",993
2017-09-20,"KR",1004
2017-09-21,"KR",958
2017-09-22,"KR",934
2017-09-23,"KR",969
2017-09-24,"KR",1026
2017-09-25,"KR",1076
2017-09-26,"KR",1104
2017-09-27,"KR",1077
2017-09-28,"KR",1073
2017-09-29,"KR",1096
2017-09-30,"KR",1073
2017-10-01,"KR",1050
2017-10-02,"KR",1050
2017-10-03,"KR",1050
2017-10-04,"KR",1050
2017-10-05,"KR",1050
2017-10-06,"KR",1050
2017-10-07,"KR",1050
2017-10-08,"KR",1050
2017-10-09,"KR",1050
2017-10-10,"KR",1050
2017-10-11,"KR",1050
2017-10-12,"KR",1050
2017-10-13,"KR",1026
2017-10-14,"KR",1034
2017-10-15,"KR",1066
2017-10-16,"KR",1045
2017-10-17,"KR",1024
2017-10-18,"KR",1024
2017-10-19,"KR",1057
2017-10-20,"KR",1058
2017-10-21,"KR",1051
2017-10-22,"KR",1094
2017-10-23,"KR",1086
2017-10-24,"KR",1060
2017-10-25,"KR",1089
2017-10-26,"KR",1118
2017-10-27,"KR",1118
2017-10-28,"KR",1118
2017-10-29,"KR",1118
2017-10-30,"KR",1134
2017-10-31,"KR",1175
2017-11-01,"KR",1182
2017-11-02,"KR",1164
2017-11-03,"KR",1193
2017-11-04,"KR",1240
2017-11-05,"KR",1258
2017-11-06,"KR",1223
2017-11-07,"KR",1188
2017-11-08,"KR",1188
2017-11-09,"KR",1169
2017-11-10,"KR",1118
2017-11-11,"KR",1086
2017-11-12,"KR",1068
2017-11-13,"KR",1019
2017-11-14,"KR",953
2017-11-15,"KR",894
2017-11-16,"KR",870
2017-11-17,"KR",886
2017-11-18,"KR",935
2017-11-19,"KR",968
2017-11-20,"KR",946
2017-11-21,"KR",908
2017-11-22,"KR",892
2017-11-23,"KR",908
2017-11-24,"KR",896
2017-11-25,"KR",890
2017-11-26,"KR",897
2017-11-27,"KR",899
2017-11-28,"KR",932
2017-11-29,"KR",948
2017-11-30,"KR",948
2017-12-01,"KR",921
2017-12-02,"KR",861
2017-12-03,"KR",828
2017-12-04,"KR",828
2017-12-05,"KR",828
2017-12-06,"KR",828
2017-12-07,"KR",828
2017-12-08,"KR",812
2017-12-09,"KR",796
2017-12-10,"KR",817
2017-12-11,"KR",814
2017-12-12,"KR",771
2017-12-13,"KR",752
2017-12-14,"KR",783
2017-12-15,"KR",795
2017-12-16,"KR",805
2017-12-17,"KR",834
2017-12-18,"KR",861
2017-12-19,"KR",888
2017-12-20,"KR",870
2017-12-21,"KR",822
2017-12-22,"KR",792
2017-12-23,"KR",809
2017-12-24,"KR",860
2017-12-25,"KR",871
2017-12-26,"KR",848
2017-12-27,"KR",820
2017-12-28,"KR",815
2017-12-29,"KR",838
2017-12-30,"KR",860
2017-12-31,"KR",882
2018-01-01,"KR",910
2018-01-02,"KR",938
2018-01-03,"KR",906
2018-01-04,"KR",859
2018-01-05,"KR",844
2018-01-06,"KR",871
2018-01-07,"KR",898
2018-01-08,"KR",873
2018-01-09,"KR",848
2018-01-10,"KR",848
2018-01-11,"KR",848
2018-01-12,"KR",815
2018-01-13,"KR",803
2018-01-14,"KR",802
2018-01-15,"KR",812
2018-01-16,"KR",825
2018-01-17,"KR",787
2018-01-18,"KR",784
2018-01-19,"KR",832
2018-01-20,"KR",864
2018-01-21,"KR",837
2018-01-22,"KR",810
2018-01-23,"KR",810
2018-01-24,"KR",840
2018-01-25,"KR",901
2018-01-26,"KR",898
2018-01-27,"KR",864
2018-01-28,"KR",886
2018-01-29,"KR",923
2018-01-30,"KR",938
2018-01-31,"KR",910
2018-02-01,"KR",907
2018-02-02,"KR",908
2018-02-03,"KR",884
2018-02-04,"KR",917
2018-02-05,"KR",927
2018-02-06,"KR",939
2018-02-07,"KR",945
2018-02-08,"KR",893
2018-02-09,"KR",855
2018-02-10,"KR",840
2018-02-11,"KR",816
2018-02-12,"KR",824
2018-02-13,"KR",825
2018-02-14,"KR",775
2018-02-15,"KR",756
2018-02-16,"KR",777
2018-02-17,"KR",798
2018-02-18,"KR",798
2018-02-19,"KR",798
2018-02-20,"KR",826
2018-02-21,"KR",824
2018-02-22,"KR",762
2018-02-23,"KR",746
2018-02-24,"KR",743
2018-02-25,"KR",755
2018-02-26,"KR",768
2018-02-27,"KR",750
2018-02-28,"KR",766
2018-03-01,"KR",747
2018-03-02,"KR",744
2018-03-03,"KR",748
2018-03-04,"KR",720
2018-03-05,"KR",695
2018-03-06,"KR",692
2018-03-07,"KR",680
2018-03-08,"KR",646
2018-03-09,"KR",626
2018-03-10,"KR",606
2018-03-11,"KR",632
2018-03-12,"KR",658
2018-03-13,"KR",625
2018-03-14,"KR",575
2018-03-15,"KR",589
2018-03-16,"KR",646
2018-03-17,"KR",649
2018-03-18,"KR",626
2018-03-19,"KR",602
2018-03-20,"KR",578
2018-03-21,"KR",578
2018-03-22,"KR",544
2018-03-23,"KR",475
2018-03-24,"KR",424
2018-03-25,"KR",442
2018-03-26,"KR",476
2018-03-27,"KR",476
2018-03-28,"KR",476
2018-03-29,"KR",508
2018-03-30,"KR",540
2018-03-31,"KR",562
2018-04-01,"KR",569
2018-04-02,"KR",554
2018-04-03,"KR",554
2018-04-04,"KR",526
2018-04-05,"KR",521
2018-04-06,"KR",524
2018-04-07,"KR",471
2018-04-08,"KR",438
2018-04-09,"KR",438
2018-04-10,"KR",462
2018-04-11,"KR",486
2018-04-12,"KR",505
2018-04-13,"KR",501
2018-04-14,"KR",447
2018-04-15,"KR",416
2018-04-16,"KR",387
2018-04-17,"KR",358
2018-04-18,"KR",337
2018-04-19,"KR",334
2018-04-20,"KR",326
2018-04-21,"KR",266
2018-04-22,"KR",232
2018-04-23,"KR",232
2018-04-24,"KR",256
2018-04-25,"KR",280
